[13:55:03.974] ❌ 连接失败，重试中...
[13:55:07.164] ❌ 连接失败，重试中...
[13:55:10.341] ❌ 连接失败，重试中...
[13:55:13.540] ❌ 连接失败，重试中...
[13:56:50.374] ❌ 连接失败，重试中...
[13:56:53.643] ❌ 连接失败，重试中...
[13:56:54.749] ✅ 连接成功，开始接收数据
[13:56:57.276] [ECG_V1] Sensor task started
[13:56:57.276] [SENSOR] before MAX30003_Init
[13:56:57.277] [MAX30003] Initializing...
[13:56:57.277] [MAX30003_INIT] step=cs
[13:56:57.307] [MAX30003_INIT] step=sw_reset
[13:56:57.307] [MAX30003_INIT] step=status1
[13:56:57.308] [MAX30003_INIT] step=status2
[13:56:57.308] [MAX30003_INIT] step=info1
[13:56:57.308] step=info2
[13:56:57.308] [MAX30003_INIT] step=info3
[13:56:57.322] [MAX3000
[13:56:57.322] [MAX30003_INIT] step=cnfg_ecg
[13:56:57.323] [MAX30003][OK] CNFG_ECG = 0x025000
[13:56:57.323] [MAX30003_INIT] step=cnfg_gen
[13:56:57.324] [MAX30003][OK] CNFG_GEN = 0x081217
[13:56:57.430] [MAX30003][OK] CNFG_CAL = 0x000000
[13:56:57.430] [MAX30003][OK] CNFG_EMUX = 0x000000
[13:56:57.431] [MAX30003_INIT] step=mngr_dyn_skip
[13:56:57.432] [MAX30003_INIT] step=pll_wait
[13:56:57.432] [MAX30003_INIT] step=en_int
[13:56:57.433] [MAX30003][OK] EN_INT = 0x000002
[13:56:57.433] [MAX30003_INIT] step=mngr_int
[13:56:57.433] [MAX30003][OK] MNGR_INT = 0x200000
[13:56:57.446] [MAX30003] Init done. STATUS=0x000100
[13:56:57.446] [SENSOR] after MAX30003_Init
[13:56:57.447] [SENSOR] after MAX30003_INIT_DONE log
[13:56:57.509] [SDDBG] new log opened path=0:/log_001.txt
[13:56:57.510] [MS_SD] mount begin file=0:/ecg_001.csv
[13:56:57.510] [MS_SD] mount ok
[13:56:57.511] [MS_SD] open begin file=0:/ecg_001.csv
[13:56:57.511] [MS_SD] open ok
[13:56:57.511] [MS_SD] header ok bw=41
[13:56:57.511] [MS_SD] first sync res=0
[13:56:57.525] [MS_SD] file opened and released
[13:56:57.526] [REC] record start file_opened=1 tick=3285
[13:56:57.527] [REC] before MAX30003_StartStream tick=3285
[13:56:57.602] [MAX30003_INIT] step=fifo_synch
[13:56:57.602] [MAX30003] StartStream status1=0x000100 status2=0x000100 status3=0x000100
[13:56:59.472] [REC] after MAX30003_StartStream tick=3286 start_tick=3211
[13:56:59.473] [MIC] open ok file=0:/mic_001.wav
[13:56:59.473] [MIC] dma_start ret=0 words=16384 bytes=65536
[13:57:01.230] [MIC] write halves=8 bytes=65536 raw=00000000..00fffffb pcm=0..255 drops=0
[13:57:02.973] [MIC] write halves=16 bytes=131072 raw=00000000..00fffffd pcm=0..255 drops=0
[13:57:04.731] [MIC] write halves=24 bytes=196608 raw=00000001..00ffffff pcm=0..255 drops=0
[13:57:06.472] [MIC] write halves=32 bytes=262144 raw=00000001..00fffffa pcm=0..255 drops=0
[13:57:07.457] [MIC] write halves=40 bytes=327680 raw=00000001..00fffffe pcm=0..255 drops=0
[13:57:07.458] [ECG_AUTO_STOP] t=13211
[13:57:07.458] [MAX30003] StopStream done. STATUS=0x100109
[13:57:07.462] [SDDBG][ERR] open path=0:/log_001.txt res=18
[13:57:07.690] [SDDBG][ERR] open path=0:/log_001.txt res=18
[13:57:07.691] [SDDBG][ERR] open path=0:/log_001.txt res=18
[13:57:07.691] [SDDBG][ERR] open path=0:/log_001.txt res=18
[13:57:07.692] [REC_STOP]
[13:57:07.721] [MS_SD] close final_sync=0 close=0 bytes=151211 ecg_written=5065
[13:57:07.726] [MIC] close seek=0 write=0 bw=44 sync=0 close=0 bytes=376832 halves=46 drops=0
[13:57:07.754] [DUMP_REQ]
[13:57:07.768] [DATA_FILE_BEGIN]
[13:57:07.800] timestamp_ms,type,seq,v1,v2,v3,v4,v5,v6
[13:57:09.748] 3531,ECG,123,16575,0,0,0,0,0
[13:57:09.748] 3531,ECG,124,16502,0,0,0,0,0
[13:57:09.779] 3536,ECG,125,16411,0,0,0,0,0
[13:57:09.811] 3536,ECG,126,16262,0,0,0,0,0
[13:57:09.811] 3541,ECG,127,16119,0,0,0,0,0
[13:57:09.826] 3541,ECG,128,15976,0,0,0,0,0
[13:57:09.857] 3541,ECG,129,15823,0,0,0,0,0
[13:57:09.857] 3546,ECG,130,15693,0,0,0,0,0
[13:57:09.889] 3546,ECG,131,15593,0,0,0,0,0
[13:57:09.889] 3546,ECG,132,15512,0,0,0,0,0
[13:57:09.905] 3551,ECG,133,15465,0,0,0,0,0
[13:57:09.936] 3551,ECG,134,15441,0,0,0,0,0
[13:57:09.937] 3556,ECG,135,15377,0,0,0,0,0
[13:57:09.952] 3556,ECG,136,15294,0,0,0,0,0
[13:57:09.982] 3556,ECG,137,15164,0,0,0,0,0
[13:57:09.982] 3561,ECG,138,14985,0,0,0,0,0
[13:57:10.014] 3561,ECG,139,14845,0,0,0,0,0
[13:57:10.014] 3566,ECG,140,14732,0,0,0,0,0
[13:57:10.045] 3566,ECG,141,14631,0,0,0,0,0
[13:57:10.061] 3566,ECG,142,14573,0,0,0,0,0
[13:57:10.061] 3571,ECG,143,14519,0,0,0,0,0
[13:57:10.092] 3571,ECG,144,14472,0,0,0,0,0
[13:57:10.122] 3576,ECG,145,14482,0,0,0,0,0
[13:57:10.122] 3576,ECG,146,14391,0,0,0,0,0
[13:57:10.137] 3576,ECG,147,14250,0,0,0,0,0
[13:57:10.137] 3581,ECG,148,14053,0,0,0,0,0
[13:57:10.168] 3581,ECG,149,13864,0,0,0,0,0
[13:57:10.199] 3586,ECG,150,13676,0,0,0,0,0
[13:57:10.199] 3586,ECG,151,13533,0,0,0,0,0
[13:57:10.215] 3586,ECG,152,13451,0,0,0,0,0
[13:57:10.245] 3591,ECG,153,13418,0,0,0,0,0
[13:57:10.245] 3591,ECG,154,13435,0,0,0,0,0
[13:57:10.276] 3591,ECG,155,13474,0,0,0,0,0
[13:57:10.276] 3596,ECG,156,13491,0,0,0,0,0
[13:57:10.292] 3596,ECG,157,13437,0,0,0,0,0
[13:57:10.323] 3601,ECG,158,13311,0,0,0,0,0
[13:57:10.323] 3601,ECG,159,13105,0,0,0,0,0
[13:57:10.354] 3601,ECG,160,12954,0,0,0,0,0
[13:57:10.370] 3606,ECG,161,12829,0,0,0,0,0
[13:57:10.370] 3606,ECG,162,12738,0,0,0,0,0
[13:57:10.401] 3611,ECG,163,12672,0,0,0,0,0
[13:57:10.401] 3611,ECG,164,12658,0,0,0,0,0
